trackname,composer,milliseconds,bytes,unitprice,albumtitle,artistname,mediatypename,genrename,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,invoicetotal,customerfirstname,customerlastname,customeraddress,customercity,customerstate,customercountry,invoicelinequantity,invoicelineunitprice,Day,Month,Year
Fortunate Son,J. C. Fogerty,140329,4617559,0.99,"Chronicle, Vol. 1",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-14,"4, Rue Milton",Paris,unknown,France,75009,3.96,Camille,Bernard,"4, Rue Milton",Paris,unknown,France,1,0.99,14,7,2022
Who'll Stop The Rain,J. C. Fogerty,149394,4899579,0.99,"Chronicle, Vol. 1",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-14,"4, Rue Milton",Paris,unknown,France,75009,3.96,Camille,Bernard,"4, Rue Milton",Paris,unknown,France,1,0.99,14,7,2022
Long As I Can See The Light,J. C. Fogerty,213237,6924024,0.99,"Chronicle, Vol. 1",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
Sweet Hitch-Hiker,J. C. Fogerty,175490,5716603,0.99,"Chronicle, Vol. 1",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
Born On The Bayou,J.C. Fogerty,316630,10361866,0.99,"Chronicle, Vol. 2",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
Night Time Is The Right Time,J.C. Fogerty,190119,6211173,0.99,"Chronicle, Vol. 2",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
The Midnight Special,J.C. Fogerty,253596,8297482,0.99,"Chronicle, Vol. 2",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
(Wish I Could) Hideaway,J.C. Fogerty,228466,7432978,0.99,"Chronicle, Vol. 2",Creedence Clearwater Revival,MPEG audio file,Rock,2022-07-15,"68, Rue Jouvence",Dijon,unknown,France,21000,5.94,Isabelle,Mercier,"68, Rue Jouvence",Dijon,unknown,France,1,0.99,15,7,2022
Gatas Extraordinárias,unknown,212506,7095702,0.99,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,MPEG audio file,Latin,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
"Você Passa, Eu Acho Graça (Ao Vivo)",unknown,206733,6943576,0.99,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,MPEG audio file,Latin,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Não Sei O Que Eu Quero Da Vida,unknown,151849,5024963,0.99,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,MPEG audio file,Latin,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
E.C.T.,unknown,227500,7571834,0.99,Cássia Eller - Sem Limite [Disc 1],Cássia Eller,MPEG audio file,Latin,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Eleanor Rigby,unknown,189466,6303205,0.99,Cássia Eller - Sem Limite [Disc 1],Cássia Eller,MPEG audio file,Latin,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Comin' Home,Bolin/Coverdale/Paice,235781,7644604,0.99,Come Taste The Band,Deep Purple,MPEG audio file,Rock,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Love Child,Bolin/Coverdale,188160,6173806,0.99,Come Taste The Band,Deep Purple,MPEG audio file,Rock,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",478302,15563967,0.99,Deep Purple In Rock,Deep Purple,MPEG audio file,Rock,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Strange Kind Of Woman,"Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice",247092,8072036,0.99,Fireball,Deep Purple,MPEG audio file,Rock,2022-07-18,Ordynacka 10,Warsaw,unknown,Poland,00-358,8.91,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,18,7,2022
Black Night,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",368770,12058906,0.99,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Pictures Of Home,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,303777,9903835,0.99,Machine Head,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Cascades : I'm Not Your Lover,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",283689,9209693,0.99,Purpendicular,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
The Cut Runs Deep,"Blackmore, Glover, Turner, Lord, Paice",342752,11191650,0.99,Slaves And Masters,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Love Don't Mean a Thing,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,263862,8675026,0.99,Stormbringer,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Lick It Up,roger glover,240274,7792604,0.99,The Battle Rages On,Deep Purple,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Pour Some Sugar On Me,unknown,292519,9518842,0.99,Vault: Def Leppard's Greatest Hits,Def Leppard,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Action,unknown,220604,7130830,0.99,Vault: Def Leppard's Greatest Hits,Def Leppard,MPEG audio file,Rock,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Groovus Interruptus,Jim Beard,319373,10602166,0.99,Outbreak,Dennis Chambers,MPEG audio file,Jazz,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Cigano,unknown,304692,10037362,0.99,Djavan Ao Vivo - Vol. 02,Djavan,MPEG audio file,Latin,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Acelerou,unknown,284081,9396942,0.99,Djavan Ao Vivo - Vol. 02,Djavan,MPEG audio file,Latin,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Azul,Djavan,253962,8381029,0.99,Djavan Ao Vivo - Vol. 1,Djavan,MPEG audio file,Latin,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
"Dois Pra Lá, Dois Pra Cá",unknown,263026,8684639,0.99,Elis Regina-Minha História,Elis Regina,MPEG audio file,Latin,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Maria Rosa,unknown,232803,7592504,0.99,Elis Regina-Minha História,Elis Regina,MPEG audio file,Latin,2022-07-23,"12,Community Centre",Delhi,unknown,India,110017,13.86,Manoj,Pareek,"12,Community Centre",Delhi,unknown,India,1,0.99,23,7,2022
Lay Down Sally,Clapton/Levy,231732,7774207,0.99,The Cream Of Clapton,Eric Clapton,MPEG audio file,Blues,2022-07-31,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,0.99,Fernanda,Ramos,Qe 7 Bloco G,Brasília,DF,Brazil,1,0.99,31,7,2022
Knockin On Heavens Door,Clapton/Dylan,264411,8758819,0.99,The Cream Of Clapton,Eric Clapton,MPEG audio file,Blues,2022-08-13,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,13,8,2022
Wonderful Tonight,Clapton,221387,7326923,0.99,The Cream Of Clapton,Eric Clapton,MPEG audio file,Blues,2022-08-13,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98,Mark,Philips,8210 111 ST NW,Edmonton,AB,Canada,1,0.99,13,8,2022
Promises,Clapton/F.eldman/Linn,180401,6006154,0.99,The Cream Of Clapton,Eric Clapton,MPEG audio file,Blues,2022-08-13,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98,Frank,Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,1,0.99,13,8,2022
Signe,Eric Clapton,193515,6475042,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-13,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98,Frank,Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,1,0.99,13,8,2022
Hey Hey,Big Bill Broonzy,196466,6543487,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-14,627 Broadway,New York,NY,USA,10012-2612,3.96,Michelle,Brooks,627 Broadway,New York,NY,USA,1,0.99,14,8,2022
Lonely Stranger,Eric Clapton,328724,10894406,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-14,627 Broadway,New York,NY,USA,10012-2612,3.96,Michelle,Brooks,627 Broadway,New York,NY,USA,1,0.99,14,8,2022
Layla,"Eric Clapton, Jim Gordon",285387,9490542,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-14,627 Broadway,New York,NY,USA,10012-2612,3.96,Michelle,Brooks,627 Broadway,New York,NY,USA,1,0.99,14,8,2022
Walkin' Blues,Robert Johnson,226429,7435192,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-14,627 Broadway,New York,NY,USA,10012-2612,3.96,Michelle,Brooks,627 Broadway,New York,NY,USA,1,0.99,14,8,2022
Old Love,"Eric Clapton, Robert Cray",472920,15780747,0.99,Unplugged,Eric Clapton,MPEG audio file,Blues,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Last Cup Of Sorrow,Bill Gould/Mike Patton,251663,8221247,0.99,Album Of The Year,Faith No More,MPEG audio file,Alternative & Punk,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Ashes To Ashes,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,217391,7093746,0.99,Album Of The Year,Faith No More,MPEG audio file,Alternative & Punk,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Home Sick Home,Mike Patton,119040,3898976,0.99,Album Of The Year,Faith No More,MPEG audio file,Alternative & Punk,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Midlife Crisis,unknown,263235,8628841,0.99,Angel Dust,Faith No More,MPEG audio file,Alternative & Punk,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Malpractice,unknown,241371,7900683,0.99,Angel Dust,Faith No More,MPEG audio file,Alternative & Punk,2022-08-15,120 S Orange Ave,Orlando,FL,USA,32801,5.94,Heather,Leacock,120 S Orange Ave,Orlando,FL,USA,1,0.99,15,8,2022
Midnight Cowboy,unknown,251924,8242626,0.99,Angel Dust,Faith No More,MPEG audio file,Alternative & Punk,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Star A.D.,"Mike Bordin, Billy Gould, Mike Patton",203807,6747658,0.99,King For A Day Fool For A Lifetime,Faith No More,MPEG audio file,Rock,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
King For A Day,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",395859,13163733,0.99,King For A Day Fool For A Lifetime,Faith No More,MPEG audio file,Rock,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Epic,Faith No More,294008,9631296,0.99,The Real Thing,Faith No More,MPEG audio file,Alternative & Punk,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
The Morning After,Faith No More,223764,7355898,0.99,The Real Thing,Faith No More,MPEG audio file,Alternative & Punk,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Xote Dos Milagres,unknown,269557,8897778,0.99,Deixa Entrar,Falamansa,MPEG audio file,Latin,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Principiando/Decolagem,unknown,116767,3923789,0.99,Deixa Entrar,Falamansa,MPEG audio file,Latin,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
In Your Honor,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",230191,7468463,0.99,In Your Honor [Disc 1],Foo Fighters,MPEG audio file,Rock,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Free Me,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",278700,9109340,0.99,In Your Honor [Disc 1],Foo Fighters,MPEG audio file,Rock,2022-08-18,302 S 700 E,Salt Lake City,UT,USA,84102,8.91,Julia,Barnett,302 S 700 E,Salt Lake City,UT,USA,1,0.99,18,8,2022
Over And Out,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",316264,10428382,0.99,In Your Honor [Disc 2],Foo Fighters,MPEG audio file,Rock,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Disenchanted Lullaby,Foo Fighters,273528,8919111,0.99,One By One,Foo Fighters,MPEG audio file,Alternative & Punk,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
"Hey, Johnny Park!","Dave, Taylor, Nate, Chris",248528,8079480,0.99,The Colour And The Shape,Foo Fighters,MPEG audio file,Rock,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Walking After You,Dave Grohl,303856,9898992,0.99,The Colour And The Shape,Foo Fighters,MPEG audio file,Rock,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Nervosa,unknown,229537,7680421,0.99,Roda De Funk,Funk Como Le Gusta,MPEG audio file,Latin,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Meu Guarda-Chuva,unknown,248528,8216625,0.99,Roda De Funk,Funk Como Le Gusta,MPEG audio file,Latin,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Juazeiro,Humberto Teixeira/Luiz Gonzaga,222275,7349779,0.99,As Canções de Eu Tu Eles,Gilberto Gil,MPEG audio file,Soundtrack,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Lamento Sertanejo,Dominguinhos/Gilberto Gil,260963,8518290,0.99,As Canções de Eu Tu Eles,Gilberto Gil,MPEG audio file,Soundtrack,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Estrela (Live),unknown,285309,9436411,0.99,Quanta Gente Veio Ver (Live),Gilberto Gil,MPEG audio file,Latin,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Lamento De Carnaval,unknown,294530,9819276,0.99,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil,MPEG audio file,Jazz,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Beira Mar,Gilberto Gil,295444,9597994,0.99,Unplugged,Eric Clapton,MPEG audio file,Latin,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Straight Out Of Line,Sully Erna,259213,8511877,0.99,Faceless,Godsmack,MPEG audio file,Metal,2022-08-23,Berger Straße 10,Frankfurt,unknown,Germany,60316,13.86,Fynn,Zimmermann,Berger Straße 10,Frankfurt,unknown,Germany,1,0.99,23,8,2022
Holiday,"Billie Joe Armstrong, Mike Dirnt, Tré Cool",232724,7599602,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-08-31,Celsiusg. 9,Stockholm,unknown,Sweden,11230,0.99,Joakim,Johansson,Celsiusg. 9,Stockholm,unknown,Sweden,1,0.99,31,8,2022
Boulevard Of Broken Dreams,"Mike Dint, Billie Joe, Tré Cool",260858,8485122,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-13,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,1.98,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,13,9,2022
Are We The Waiting,Green Day,163004,5328329,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-13,202 Hoxton Street,London,unknown,United Kingdom,N1 5LH,1.98,Emma,Jones,202 Hoxton Street,London,unknown,United Kingdom,1,0.99,13,9,2022
Give Me Novacaine,Green Day,205871,6752485,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-13,110 Raeburn Pl,Edinburgh,unknown,United Kingdom,EH4 1HH,1.98,Steve,Murray,110 Raeburn Pl,Edinburgh,unknown,United Kingdom,1,0.99,13,9,2022
Extraordinary Girl,Green Day,214021,6975177,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-13,110 Raeburn Pl,Edinburgh,unknown,United Kingdom,EH4 1HH,1.98,Steve,Murray,110 Raeburn Pl,Edinburgh,unknown,United Kingdom,1,0.99,13,9,2022
Wake Me Up When September Ends,"Mike Dint, Billie Joe, Tré Cool",285753,9325597,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-14,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1106,3.96,Diego,Gutiérrez,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1,0.99,14,9,2022
Whatsername,Green Day,252316,8244843,0.99,American Idiot,Green Day,MPEG audio file,Alternative & Punk,2022-09-14,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1106,3.96,Diego,Gutiérrez,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1,0.99,14,9,2022
It's So Easy,unknown,202824,3394019,0.99,Appetite for Destruction,Guns N' Roses,Protected AAC audio file,Rock,2022-09-14,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1106,3.96,Diego,Gutiérrez,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1,0.99,14,9,2022
Out Ta Get Me,unknown,263893,4382147,0.99,Appetite for Destruction,Guns N' Roses,Protected AAC audio file,Rock,2022-09-14,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1106,3.96,Diego,Gutiérrez,307 Macacha Güemes,Buenos Aires,unknown,Argentina,1,0.99,14,9,2022
Think About You,unknown,231640,3860275,0.99,Appetite for Destruction,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Rocket Queen,unknown,375349,6185539,0.99,Appetite for Destruction,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Don't Cry (Original),unknown,284744,4833259,0.99,Use Your Illusion I,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Back off Bitch,unknown,303436,5135662,0.99,Use Your Illusion I,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Garden of Eden,unknown,161539,2839694,0.99,Use Your Illusion I,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Coma,unknown,616511,10201342,0.99,Use Your Illusion I,Guns N' Roses,Protected AAC audio file,Rock,2022-09-15,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94,Luís,Gonçalves,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,1,0.99,15,9,2022
Shotgun Blues,W. Axl Rose,203206,6623916,0.99,Use Your Illusion II,Guns N' Roses,MPEG audio file,Metal,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
You Could Be Mine,Izzy Stradlin'/W. Axl Rose,343875,11207355,0.99,Use Your Illusion II,Guns N' Roses,MPEG audio file,Metal,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
Deep Waters,Richard Bull,396460,13075359,0.99,Blue Moods,Incognito,MPEG audio file,Jazz,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
Thinking 'Bout Tomorrow,Fayyaz Virgi/Richard Bull,355395,11865384,0.99,Blue Moods,Incognito,MPEG audio file,Jazz,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
Brighter Than a Thousand Suns,unknown,526255,8721490,0.99,A Matter of Life and Death,Iron Maiden,Protected AAC audio file,Rock,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
Lord of Light,unknown,444614,7393698,0.99,A Matter of Life and Death,Iron Maiden,Protected AAC audio file,Rock,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
Transylvania,Steve Harris,265874,4255744,0.99,A Real Dead One,Iron Maiden,MPEG audio file,Metal,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,337423,5400576,0.99,A Real Dead One,Iron Maiden,MPEG audio file,Metal,2022-09-18,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1010,8.91,Astrid,Gruber,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,unknown,Austria,1,0.99,18,9,2022
