"trackid","trackname","albumid","composer","milliseconds","bytes","unitprice","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","invoiceid","customerid","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","customerfirstname","customerlastname","customeraddress","customercity","customerstate","customercountry","invoicelinequantity","invoicelineunitprice"
2781,"Comida",224,"Titãs",322612,10786578,"0.99","Acústico",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",192,31,"2023-04-20 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","5.94","Martha","Silk","194A Chain Lake Drive","Halifax","NS","Canada",1,"0.99"
2785,"Os Cegos Do Castelo",224,"Titãs",296829,9868187,"0.99","Acústico",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",192,31,"2023-04-20 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","5.94","Martha","Silk","194A Chain Lake Drive","Halifax","NS","Canada",1,"0.99"
2789,"Flores",224,"Titãs",215510,7148017,"0.99","Acústico",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",192,31,"2023-04-20 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","5.94","Martha","Silk","194A Chain Lake Drive","Halifax","NS","Canada",1,"0.99"
2793,"Cabeça Dinossauro",224,"Titãs",37120,1220930,"0.99","Acústico",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",192,31,"2023-04-20 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","5.94","Martha","Silk","194A Chain Lake Drive","Halifax","NS","Canada",1,"0.99"
2797,"Homem Primata (Vinheta)",224,"Titãs",34168,1124909,"0.99","Acústico",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",192,31,"2023-04-20 00:00:00","194A Chain Lake Drive","Halifax","NS","Canada","B3S 1C5","5.94","Martha","Silk","194A Chain Lake Drive","Halifax","NS","Canada",1,"0.99"
2803,"Sonifera Ilha",225,"Branco Mello/Carlos Barmack/Ciro Pessoa/Marcelo Fromer/Toni Belloto",170684,5678290,"0.99","Volume Dois",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"0.99"
2809,"Amanhã Não Se Sabe",225,"Sérgio Britto",189440,6243967,"0.99","Volume Dois",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"0.99"
2815,"Eu E Ela",225,"Nando Reis",276035,9138846,"0.99","Volume Dois",146,"Titãs",1,"MPEG audio file",4,"Alternative & Punk",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"0.99"
2821,"Exodus, Pt. 1",227,NULL,2621708,475079441,"1.99","Battlestar Galactica, Season 3",147,"Battlestar Galactica",3,"Protected MPEG-4 video file",19,"TV Shows",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2827,"Unfinished Business",227,NULL,2622038,528499160,"1.99","Battlestar Galactica, Season 3",147,"Battlestar Galactica",3,"Protected MPEG-4 video file",18,"Science Fiction",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2833,"A Day In the Life",227,NULL,2620245,462818231,"1.99","Battlestar Galactica, Season 3",147,"Battlestar Galactica",3,"Protected MPEG-4 video file",18,"Science Fiction",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2839,"Genesis",228,NULL,2611986,515671080,"1.99","Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",19,"TV Shows",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2845,"Nothing to Hide",228,NULL,2605647,510058181,"1.99","Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",19,"TV Shows",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2851,"Distractions",228,NULL,2590382,537111289,"1.99","Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",21,"Drama",193,37,"2023-04-23 00:00:00","Berger Straße 10","Frankfurt",NULL,"Germany","60316","14.91","Fynn","Zimmermann","Berger Straße 10","Frankfurt",NULL,"Germany",1,"1.99"
2860,"Adrift",231,NULL,2564958,502663995,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2869,"...And Found",231,NULL,2563833,500330548,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2878,"The Other 48 Days",231,NULL,2610625,535256753,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2887,"The 23rd Psalm",231,NULL,2610416,487401604,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2896,"The Long Con",231,NULL,2679583,518376636,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2905,"The Whole Truth",231,NULL,2610125,495487014,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2914,"S.O.S.",231,NULL,2639541,517979269,"1.99","Lost, Season 2",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2923,"Exodus (Part 2) [Season Finale]",230,NULL,2605557,208667059,"1.99","Lost, Season 1",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"1.99"
2932,"The Fly",232,"U2",268982,8825399,"0.99","Achtung Baby",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2941,"Walk On",233,"Adam Clayton, Bono, Larry Mullen, The Edge",296280,9800861,"0.99","All That You Can't Leave Behind",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2950,"Spanish Eyes",234,"U2",196702,6392710,"0.99","B-Sides 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2959,"Hallelujah Here She Comes",234,"U2",242364,8027028,"0.99","B-Sides 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2968,"City Of Blinding Lights",235,"Adam Clayton, Bono, Larry Mullen & The Edge",347951,11432026,"0.99","How To Dismantle An Atomic Bomb",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2977,"Mofo",236,"Bono, The Edge, Adam Clayton, and Larry Mullen",349178,11583042,"0.99","Pop",150,"U2",1,"MPEG audio file",1,"Rock",194,46,"2023-04-28 00:00:00","3 Chatham Street","Dublin","Dublin","Ireland",NULL,"21.86","Hugh","O'Reilly","3 Chatham Street","Dublin","Dublin","Ireland",1,"0.99"
2991,"All Along The Watchtower",237,"Dylan, Bob",264568,8623572,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",195,1,"2023-05-06 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos","SP","Brazil","12227-000","0.99","Luís","Gonçalves","Av. Brigadeiro Faria Lima, 2170","São José dos Campos","SP","Brazil",1,"0.99"
2992,"I Still Haven't Found What I'm Looking for",237,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",353567,11542247,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",196,2,"2023-05-19 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
2993,"Freedom For My People",237,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",38164,1249764,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",196,2,"2023-05-19 00:00:00","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174","1.98","Leonie","Köhler","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany",1,"0.99"
2995,"Pride (In The Name Of Love)",237,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",267807,8806361,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",197,4,"2023-05-19 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","1.98","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
2997,"Love Rescue Me",237,"Bono/Clayton, Adam/Dylan, Bob/Mullen Jr., Larry/The Edge",384522,12508716,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",197,4,"2023-05-19 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","1.98","Bjørn","Hansen","Ullevålsveien 14","Oslo",NULL,"Norway",1,"0.99"
2999,"Heartland",237,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",303360,9867748,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",198,6,"2023-05-20 00:00:00","Rilská 3174/6","Prague",NULL,"Czech Republic","14300","3.96","Helena","Holý","Rilská 3174/6","Prague",NULL,"Czech Republic",1,"0.99"
3001,"The Star Spangled Banner",237,"Hendrix, Jimi",43232,1385810,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",198,6,"2023-05-20 00:00:00","Rilská 3174/6","Prague",NULL,"Czech Republic","14300","3.96","Helena","Holý","Rilská 3174/6","Prague",NULL,"Czech Republic",1,"0.99"
3003,"All I Want Is You",237,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",390243,12729820,"0.99","Rattle And Hum",150,"U2",1,"MPEG audio file",1,"Rock",198,6,"2023-05-20 00:00:00","Rilská 3174/6","Prague",NULL,"Czech Republic","14300","3.96","Helena","Holý","Rilská 3174/6","Prague",NULL,"Czech Republic",1,"0.99"
3005,"New Year's Day",238,"U2",258925,8491818,"0.99","The Best Of 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",198,6,"2023-05-20 00:00:00","Rilská 3174/6","Prague",NULL,"Czech Republic","14300","3.96","Helena","Holý","Rilská 3174/6","Prague",NULL,"Czech Republic",1,"0.99"
3009,"Bad",238,"U2",351817,11628058,"0.99","The Best Of 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3013,"Sweetest Thing",238,"U2 & Daragh O'Toole",183066,6071385,"0.99","The Best Of 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3017,"All I Want Is You",238,"U2 & Van Dyke Parks",591986,19202252,"0.99","The Best Of 1980-1990",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3021,"Like A Song...",239,"U2",287294,9365379,"0.99","War",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3025,"Red Light",239,"U2",225854,7453704,"0.99","War",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3029,"Babyface",240,"U2; Bono",241998,7942573,"0.99","Zooropa",150,"U2",1,"MPEG audio file",1,"Rock",199,10,"2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94","Eduardo","Martins","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil",1,"0.99"
3035,"The First Time",240,"U2; Bono",225697,7247651,"0.99","Zooropa",150,"U2",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3041,"Homely Girl",241,NULL,203833,6790788,"0.99","UB40 The Best Of - Volume Two [UK]",151,"UB40",1,"MPEG audio file",8,"Reggae",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3047,"Bring Me Your Cup",241,NULL,341498,11346114,"0.99","UB40 The Best Of - Volume Two [UK]",151,"UB40",1,"MPEG audio file",8,"Reggae",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3053,"Hang 'Em High",242,"Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",210259,6872314,"0.99","Diver Down",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3059,"Little Guitars (Intro)",242,"Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",42240,1439530,"0.99","Diver Down",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3065,"Ain't Talkin' 'bout Love",243,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",228336,7569506,"0.99","The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3071,"Panama",243,"Edward Van Halen, Alex Van Halen, David Lee Roth",211853,6921784,"0.99","The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3077,"Can't Stop Loving You",243,"Van Halen",248502,8107896,"0.99","The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3083,"You Really Got Me",244,"Ray Davies",158589,5194092,"0.99","Van Halen",152,"Van Halen",1,"MPEG audio file",1,"Rock",200,16,"2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91","Frank","Harris","1600 Amphitheatre Parkway","Mountain View","CA","USA",1,"0.99"
3092,"Neworld",245,"Van Halen",105639,3495897,"0.99","Van Halen III",152,"Van Halen",1,"MPEG audio file",1,"Rock",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3101,"Primary",245,"Van Halen",86987,2812555,"0.99","Van Halen III",152,"Van Halen",1,"MPEG audio file",1,"Rock",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3110,"Headspace",246,"Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",223033,7237986,"0.99","Contraband",153,"Velvet Revolver",1,"MPEG audio file",1,"Rock",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3119,"Tudo Na Mais Santa Paz",247,NULL,222406,7426757,"0.99","Vinicius De Moraes",72,"Vinícius De Moraes",1,"MPEG audio file",7,"Latin",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3128,"Samba Do Jato",247,NULL,220813,7357840,"0.99","Vinicius De Moraes",72,"Vinícius De Moraes",1,"MPEG audio file",7,"Latin",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3137,"Now You're Gone",141,"Vandenberg",251141,8162193,"0.99","Greatest Hits",100,"Lenny Kravitz",1,"MPEG audio file",3,"Metal",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3146,"Faixa Amarela",248,"Beto Gogo/Jessé Pai/Luiz Carlos/Zeca Pagodinho",240692,8082036,"0.99","Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3155,"Sem Essa de Malandro Agulha",248,"Aldir Blanc/Jayme Vignoli",158484,5332668,"0.99","Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3164,"Verdade",248,"Carlinhos Santana/Nelson Rufino",332826,11120708,"0.99","Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"0.99"
3173,"Diversity Day",249,NULL,1306416,257879716,"1.99","The Office, Season 1",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"1.99"
3182,"Halloween",250,NULL,1315333,249205209,"1.99","The Office, Season 2",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"1.99"
3191,"The Carpet",250,NULL,1264375,256477011,"1.99","The Office, Season 2",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"1.99"
3200,"Gay Witch Hunt",251,NULL,1326534,276942637,"1.99","The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"1.99"
3209,"A Benihana Christmas, Pts. 1 & 2",251,NULL,2519436,515301752,"1.99","The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",22,"Comedy",201,25,"2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86","Victor","Stevens","319 N. Frances Street","Madison","WI","USA",1,"1.99"
3223,"How to Stop an Exploding Man",228,NULL,2687103,487881159,"1.99","Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",21,"Drama",202,39,"2023-06-06 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.99","Camille","Bernard","4, Rue Milton","Paris",NULL,"France",1,"1.99"
3224,"Through a Looking Glass",229,NULL,5088838,1059546140,"1.99","Lost, Season 3",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",203,40,"2023-06-19 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","2.98","Dominique","Lefebvre","8, Rue Hanovre","Paris",NULL,"France",1,"1.99"
3225,"Your Time Is Gonna Come",252,"Page, Jones",310774,5126563,"0.99","Un-Led-Ed",157,"Dread Zeppelin",2,"Protected AAC audio file",1,"Rock",203,40,"2023-06-19 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","2.98","Dominique","Lefebvre","8, Rue Hanovre","Paris",NULL,"France",1,"0.99"
3227,"Battlestar Galactica, Pt. 2",253,NULL,2956081,521387924,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",204,42,"2023-06-19 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.98","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"1.99"
3229,"Lost Planet of the Gods, Pt. 1",253,NULL,2922547,537812711,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",204,42,"2023-06-19 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.98","Wyatt","Girard","9, Place Louis Barthou","Bordeaux",NULL,"France",1,"1.99"
3231,"The Lost Warrior",253,NULL,2920045,558872190,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",205,44,"2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96","Terhi","Hämäläinen","Porthaninkatu 9","Helsinki",NULL,"Finland",1,"1.99"
3233,"The Gun On Ice Planet Zero, Pt. 1",253,NULL,2907615,540980196,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",205,44,"2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96","Terhi","Hämäläinen","Porthaninkatu 9","Helsinki",NULL,"Finland",1,"1.99"
3235,"The Magnificent Warriors",253,NULL,2924716,570152232,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",205,44,"2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96","Terhi","Hämäläinen","Porthaninkatu 9","Helsinki",NULL,"Finland",1,"1.99"
3237,"The Living Legend, Pt. 1",253,NULL,2924507,503641007,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",205,44,"2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96","Terhi","Hämäläinen","Porthaninkatu 9","Helsinki",NULL,"Finland",1,"1.99"
3241,"War of the Gods, Pt. 2",253,NULL,2923381,487899692,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",206,48,"2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94","Johannes","Van der Berg","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands",1,"1.99"
3245,"Greetings from Earth, Pt. 2",253,NULL,2903778,527842860,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",206,48,"2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94","Johannes","Van der Berg","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands",1,"1.99"
3249,"The Hand of God",253,NULL,2924007,536583079,"1.99","Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",206,48,"2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94","Johannes","Van der Berg","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands",1,"1.99"
