"trackid","trackname","albumid","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","composer","milliseconds","bytes","unitprice","invoiceid","customerid","customerfirstname","customerlastname","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","invoicelinequantity","invoicelineunitprice"
3021,"Like A Song...",239,"War",150,"U2",1,"MPEG audio file",1,"Rock","U2",287294,9365379,"0.99",199,10,"Eduardo","Martins","2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94",1,"0.99"
3025,"Red Light",239,"War",150,"U2",1,"MPEG audio file",1,"Rock","U2",225854,7453704,"0.99",199,10,"Eduardo","Martins","2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94",1,"0.99"
3029,"Babyface",240,"Zooropa",150,"U2",1,"MPEG audio file",1,"Rock","U2; Bono",241998,7942573,"0.99",199,10,"Eduardo","Martins","2023-05-21 00:00:00","Rua Dr. Falcão Filho, 155","São Paulo","SP","Brazil","01007-010","5.94",1,"0.99"
3035,"The First Time",240,"Zooropa",150,"U2",1,"MPEG audio file",1,"Rock","U2; Bono",225697,7247651,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3041,"Homely Girl",241,"UB40 The Best Of - Volume Two [UK]",151,"UB40",1,"MPEG audio file",8,"Reggae",NULL,203833,6790788,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3047,"Bring Me Your Cup",241,"UB40 The Best Of - Volume Two [UK]",151,"UB40",1,"MPEG audio file",8,"Reggae",NULL,341498,11346114,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3053,"Hang 'Em High",242,"Diver Down",152,"Van Halen",1,"MPEG audio file",1,"Rock","Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",210259,6872314,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3059,"Little Guitars (Intro)",242,"Diver Down",152,"Van Halen",1,"MPEG audio file",1,"Rock","Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony",42240,1439530,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3065,"Ain't Talkin' 'bout Love",243,"The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock","Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",228336,7569506,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3071,"Panama",243,"The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock","Edward Van Halen, Alex Van Halen, David Lee Roth",211853,6921784,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3077,"Can't Stop Loving You",243,"The Best Of Van Halen, Vol. I",152,"Van Halen",1,"MPEG audio file",1,"Rock","Van Halen",248502,8107896,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3083,"You Really Got Me",244,"Van Halen",152,"Van Halen",1,"MPEG audio file",1,"Rock","Ray Davies",158589,5194092,"0.99",200,16,"Frank","Harris","2023-05-24 00:00:00","1600 Amphitheatre Parkway","Mountain View","CA","USA","94043-1351","8.91",1,"0.99"
3092,"Neworld",245,"Van Halen III",152,"Van Halen",1,"MPEG audio file",1,"Rock","Van Halen",105639,3495897,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3101,"Primary",245,"Van Halen III",152,"Van Halen",1,"MPEG audio file",1,"Rock","Van Halen",86987,2812555,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3110,"Headspace",246,"Contraband",153,"Velvet Revolver",1,"MPEG audio file",1,"Rock","Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",223033,7237986,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3119,"Tudo Na Mais Santa Paz",247,"Vinicius De Moraes",72,"Vinícius De Moraes",1,"MPEG audio file",7,"Latin",NULL,222406,7426757,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3128,"Samba Do Jato",247,"Vinicius De Moraes",72,"Vinícius De Moraes",1,"MPEG audio file",7,"Latin",NULL,220813,7357840,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3137,"Now You're Gone",141,"Greatest Hits",100,"Lenny Kravitz",1,"MPEG audio file",3,"Metal","Vandenberg",251141,8162193,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3146,"Faixa Amarela",248,"Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin","Beto Gogo/Jessé Pai/Luiz Carlos/Zeca Pagodinho",240692,8082036,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3155,"Sem Essa de Malandro Agulha",248,"Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin","Aldir Blanc/Jayme Vignoli",158484,5332668,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3164,"Verdade",248,"Ao Vivo [IMPORT]",155,"Zeca Pagodinho",1,"MPEG audio file",7,"Latin","Carlinhos Santana/Nelson Rufino",332826,11120708,"0.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"0.99"
3173,"Diversity Day",249,"The Office, Season 1",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,1306416,257879716,"1.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"1.99"
3182,"Halloween",250,"The Office, Season 2",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,1315333,249205209,"1.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"1.99"
3191,"The Carpet",250,"The Office, Season 2",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,1264375,256477011,"1.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"1.99"
3200,"Gay Witch Hunt",251,"The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,1326534,276942637,"1.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"1.99"
3209,"A Benihana Christmas, Pts. 1 & 2",251,"The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",22,"Comedy",NULL,2519436,515301752,"1.99",201,25,"Victor","Stevens","2023-05-29 00:00:00","319 N. Frances Street","Madison","WI","USA","53703","18.86",1,"1.99"
3223,"How to Stop an Exploding Man",228,"Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",21,"Drama",NULL,2687103,487881159,"1.99",202,39,"Camille","Bernard","2023-06-06 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.99",1,"1.99"
3224,"Through a Looking Glass",229,"Lost, Season 3",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",NULL,5088838,1059546140,"1.99",203,40,"Dominique","Lefebvre","2023-06-19 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","2.98",1,"1.99"
3225,"Your Time Is Gonna Come",252,"Un-Led-Ed",157,"Dread Zeppelin",2,"Protected AAC audio file",1,"Rock","Page, Jones",310774,5126563,"0.99",203,40,"Dominique","Lefebvre","2023-06-19 00:00:00","8, Rue Hanovre","Paris",NULL,"France","75002","2.98",1,"0.99"
3227,"Battlestar Galactica, Pt. 2",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2956081,521387924,"1.99",204,42,"Wyatt","Girard","2023-06-19 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.98",1,"1.99"
3229,"Lost Planet of the Gods, Pt. 1",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2922547,537812711,"1.99",204,42,"Wyatt","Girard","2023-06-19 00:00:00","9, Place Louis Barthou","Bordeaux",NULL,"France","33000","3.98",1,"1.99"
3231,"The Lost Warrior",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2920045,558872190,"1.99",205,44,"Terhi","Hämäläinen","2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96",1,"1.99"
3233,"The Gun On Ice Planet Zero, Pt. 1",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2907615,540980196,"1.99",205,44,"Terhi","Hämäläinen","2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96",1,"1.99"
3235,"The Magnificent Warriors",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2924716,570152232,"1.99",205,44,"Terhi","Hämäläinen","2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96",1,"1.99"
3237,"The Living Legend, Pt. 1",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2924507,503641007,"1.99",205,44,"Terhi","Hämäläinen","2023-06-20 00:00:00","Porthaninkatu 9","Helsinki",NULL,"Finland","00530","7.96",1,"1.99"
3241,"War of the Gods, Pt. 2",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2923381,487899692,"1.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"1.99"
3245,"Greetings from Earth, Pt. 2",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2903778,527842860,"1.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"1.99"
3249,"The Hand of God",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2924007,536583079,"1.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"1.99"
3253,"Instant Karma",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,193188,3150090,"0.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"0.99"
3257,"Cold Turkey",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,281424,4556003,"0.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"0.99"
3261,"Oh, My Love",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,159473,2612788,"0.99",206,48,"Johannes","Van der Berg","2023-06-21 00:00:00","Lijnbaansgracht 120bg","Amsterdam","VV","Netherlands","1016","8.94",1,"0.99"
3267,"Imagine",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,219078,3562542,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3273,"[Just Like] Starting Over",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,215549,3506308,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3279,"Fairies Wear Boots",256,"Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",NULL,392764,6315916,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3285,"Sabbath, Bloody Sabbath",256,"Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",NULL,333622,5373633,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3291,"Loving You Sunday Morning",257,"20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",NULL,339125,5654493,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3297,"Tease Me Please Me",257,"20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",NULL,287229,4811894,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3303,"Top O' The Morning To Ya",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/L. Dimant",216633,8667599,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3309,"Guess Who's Back",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/L. Muggerud",238393,9537994,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3315,"Feel It",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/R. Medrano",239908,9598588,"0.99",207,54,"Steve","Murray","2023-06-24 00:00:00","110 Raeburn Pl","Edinburgh",NULL,"United Kingdom","EH4 1HH","8.91",1,"0.99"
3324,"Um Lugar ao Sol",259,"Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",NULL,212323,8495217,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3333,"Chega no Suingue",259,"Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",NULL,221805,8874509,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3342,"The Economist",261,"LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",NULL,2609025,516934914,"1.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"1.99"
3351,"Din Din Wo (Little Child)",263,"Muso Ko",198,"Habib Koité and Bamada",5,"AAC audio file",16,"World","Habib Koité",285837,4615841,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3360,"Something Nice Back Home",261,"LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",NULL,2612779,484711353,"1.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"1.99"
3369,"Call Me a Dog",269,"Temple of the Dog",204,"Temple of the Dog",2,"Protected AAC audio file",23,"Alternative",NULL,304458,5177612,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3378,"Safe and Sound",270,"Carry On",205,"Chris Cornell",2,"Protected AAC audio file",23,"Alternative","Chris Cornell",256764,4207769,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3387,"Disappearing Act",270,"Carry On",205,"Chris Cornell",2,"Protected AAC audio file",23,"Alternative","Chris Cornell",273320,4476203,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3396,"Shape of Things to Come",271,"Revelations",8,"Audioslave",2,"Protected AAC audio file",23,"Alternative",NULL,274597,4465399,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3405,"Canon and Gigue in D Major: I. Canon",274,"Pachelbel: Canon & Gigue",208,"English Concert & Trevor Pinnock",2,"Protected AAC audio file",24,"Classical","Johann Pachelbel",271788,4438393,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3414,"Symphony No. 104 in D Major ""London"": IV. Finale: Spiritoso",283,"Haydn: Symphonies 99 - 104",217,"Royal Philharmonic Orchestra & Sir Thomas Beecham",4,"Purchased AAC audio file",24,"Classical","Franz Joseph Haydn",306687,10085867,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3423,"Jupiter, the Bringer of Jollity",292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",226,"Eugene Ormandy",2,"Protected AAC audio file",24,"Classical","Gustav Holst",522099,8547876,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3432,"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",299,"Scheherazade",233,"Chicago Symphony Orchestra & Fritz Reiner",2,"Protected AAC audio file",24,"Classical","Nikolai Rimsky-Korsakov",545203,8916313,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3441,"Two Fanfares for Orchestra: II. Short Ride in a Fast Machine",307,"Adams, John: The Chairman Dances",242,"Edo de Waart & San Francisco Symphony",2,"Protected AAC audio file",24,"Classical","John Adams",254930,4310896,"0.99",208,4,"Bjørn","Hansen","2023-06-29 00:00:00","Ullevålsveien 14","Oslo",NULL,"Norway","0171","15.86",1,"0.99"
3455,"Rehab",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,213240,3416878,"0.99",209,18,"Michelle","Brooks","2023-07-07 00:00:00","627 Broadway","New York","NY","USA","10012-2612","0.99",1,"0.99"
3456,"You Know I'm No Good",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,256946,4133694,"0.99",210,19,"Tim","Goyer","2023-07-20 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98",1,"0.99"
3457,"Me & Mr. Jones",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,151706,2449438,"0.99",210,19,"Tim","Goyer","2023-07-20 00:00:00","1 Infinite Loop","Cupertino","CA","USA","95014","1.98",1,"0.99"
3459,"Back to Black",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul","Mark Ronson",240320,3852953,"0.99",211,21,"Kathy","Chase","2023-07-20 00:00:00","801 W 4th Street","Reno","NV","USA","89503","1.98",1,"0.99"
3461,"Tears Dry On Their Own",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul","Nickolas Ashford & Valerie Simpson",185293,2996598,"0.99",211,21,"Kathy","Chase","2023-07-20 00:00:00","801 W 4th Street","Reno","NV","USA","89503","1.98",1,"0.99"
3463,"Some Unholy War",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,141520,2304465,"0.99",212,23,"John","Gordon","2023-07-21 00:00:00","69 Salem Street","Boston","MA","USA","2113","3.96",1,"0.99"
3465,"You Know I'm No Good (feat. Ghostface Killah)",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,202320,3260658,"0.99",212,23,"John","Gordon","2023-07-21 00:00:00","69 Salem Street","Boston","MA","USA","2113","3.96",1,"0.99"
3467,"Intro / Stronger Than Me",322,"Frank",252,"Amy Winehouse",2,"Protected AAC audio file",9,"Pop",NULL,234200,3832165,"0.99",212,23,"John","Gordon","2023-07-21 00:00:00","69 Salem Street","Boston","MA","USA","2113","3.96",1,"0.99"
3469,"F**k Me Pumps",322,"Frank",252,"Amy Winehouse",2,"Protected AAC audio file",9,"Pop","Salaam Remi",200253,3324343,"0.99",212,23,"John","Gordon","2023-07-21 00:00:00","69 Salem Street","Boston","MA","USA","2113","3.96",1,"0.99"
3473,"Take the Box",322,"Frank",252,"Amy Winehouse",2,"Protected AAC audio file",9,"Pop","Luke Smith",199160,3281526,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3477,"Amy Amy Amy (Outro)",322,"Frank",252,"Amy Winehouse",2,"Protected AAC audio file",9,"Pop","Astor Campbell, Delroy ""Chris"" Cooper, Donovan Jackson, Dorothy Fields, Earl Chinna Smith, Felix Howard, Gordon Williams, James Moody, Jimmy McHugh, Matt Rowe, Salaam Remi & Stefan Skarbek",663426,10564704,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3481,"A Midsummer Night's Dream, Op.61 Incidental Music: No.7 Notturno",326,"Mendelssohn: A Midsummer Night's Dream",256,"Philharmonia Orchestra & Sir Neville Marriner",2,"Protected AAC audio file",24,"Classical",NULL,387826,6497867,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3485,"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",330,"Górecki: Symphony No. 3",260,"Adrian Leaper & Doreen de Feis",2,"Protected AAC audio file",24,"Classical","Henryk Górecki",567494,9273123,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3489,"Symphony No. 2: III. Allegro vivace",334,"Weill: The Seven Deadly Sins",264,"Kent Nagano and Orchestre de l'Opéra de Lyon",2,"Protected AAC audio file",24,"Classical","Kurt Weill",376510,6129146,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3493,"Metopes, Op. 29: Calypso",337,"Szymanowski: Piano Works, Vol. 1",266,"Martin Roscoe",2,"Protected AAC audio file",24,"Classical","Karol Szymanowski",333669,5548755,"0.99",213,27,"Patrick","Gray","2023-07-22 00:00:00","1033 N Park Ave","Tucson","AZ","USA","85719","5.94",1,"0.99"
3499,"Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia",343,"Respighi:Pines of Rome",226,"Eugene Ormandy",2,"Protected AAC audio file",24,"Classical",NULL,286741,4718950,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
2,"Balls to the Wall",2,"Balls to the Wall",2,"Accept",2,"Protected AAC audio file",1,"Rock","U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342562,5510424,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
8,"Inject The Venom",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",210834,6852860,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
14,"Spellbound",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",270863,8817038,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
20,"Overdose",4,"Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock","AC/DC",369319,12066294,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
26,"What It Takes",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Joe Perry, Desmond Child",310622,10144730,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
32,"Deuces Are Wild",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Jim Vallance",215875,7074167,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
38,"All I Really Want",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",284891,9375567,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
44,"You Learn",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",239699,7824837,"0.99",214,33,"Ellie","Sullivan","2023-07-25 00:00:00","5112 48 Street","Yellowknife","NT","Canada","X1A 1N6","8.91",1,"0.99"
